"gene_id","X22D_3.55","X182A_9.84","X163A_2.2","X156A_4.2","X174A_6.6","X101A_0.73","X162A_2.2","X183A_9.84","X97A_1.1","X175A_6.6","hs_symbol","SYMBOL","PRC2_targ"
"AMEX60DD000003",0.949640287769784,0.942196531791908,1,0.9375,0.962962962962963,0.938144329896907,0.954545454545455,0.991735537190083,0.855263157894737,0.877551020408163,"ZNF850","Znf850","All Promoters"
"AMEX60DD000004",0.0881763527054108,0.111888111888112,0.0520833333333333,0.0940860215053763,0.116788321167883,0.228723404255319,0.0759493670886076,0.111111111111111,0.138766519823789,0.2,"ZNF268","Znf268.1","All Promoters"
"AMEX60DD000005",0.0998080614203455,0.128630705394191,0.110091743119266,0.105263157894737,0.238993710691824,0.303571428571429,0.171171171171171,0.181818181818182,0.165354330708661,0.324324324324324,NA,"AM000005","All Promoters"
"AMEX60DD000007",0.96551724137931,0.706896551724138,1,1,1,0.953125,0.786666666666667,1,1,1,"ZNF268","Znf268.3","All Promoters"
"AMEX60DD000010",0.890804597701149,0.821862348178138,0.871287128712871,0.795811518324607,0.872727272727273,0.808,0.784810126582278,0.9,0.810240963855422,0.808333333333333,NA,"LOC102367500","All Promoters"
"AMEX60DD000011",0.804597701149425,0.707317073170732,0.8,0.754032258064516,0.748502994011976,0.765560165975104,0.789237668161435,0.762886597938144,0.76,0.613636363636364,NA,"AM000011","All Promoters"
"AMEX60DD000012",0.84399375975039,0.821465428276574,0.832764505119454,0.785515320334262,0.816666666666667,0.83625730994152,0.872122762148338,0.845394736842105,0.781576448243115,0.810526315789474,NA,"AM000012","All Promoters"
"AMEX60DD000013",0.65,0.68,0.5,0.875,0.875,0.592592592592593,0.4,0.764705882352941,0.695652173913043,0.625,NA,"AM000013","All Promoters"
"AMEX60DD000014",0.547619047619048,0.458083832335329,0.584905660377358,0.392857142857143,0.549295774647887,0.461187214611872,0.674418604651163,0,0.643617021276596,0.387096774193548,NA,"AM000014","All Promoters"
"AMEX60DD000016",0,0.005249343832021,0,0,0.024390243902439,0.0262172284644195,0.00735294117647059,0,0,0.0113636363636364,"FZD10","Fzd10","PRC2 Target"
"AMEX60DD000017",0.0878378378378378,0.0561056105610561,0.0756302521008403,0.0495049504950495,0.115384615384615,0.106918238993711,0.196078431372549,0.133333333333333,0.0649350649350649,0.222222222222222,NA,"AM000017","All Promoters"
"AMEX60DD000018",0.157534246575342,0.162303664921466,0.272727272727273,0.347222222222222,0.5,0.328859060402685,0.170212765957447,0.224489795918367,0.346666666666667,0.609756097560976,NA,"AM000018","All Promoters"
"AMEX60DD000019",0.264864864864865,0.291666666666667,0.285714285714286,0.384615384615385,0.46875,0.186666666666667,0.322033898305085,0.25,0.331658291457286,0.6,NA,"AM000019","All Promoters"
"AMEX60DD000020",0.279411764705882,0.151898734177215,0.32,0.636363636363636,0.714285714285714,0.19496855345912,0.209677419354839,0,0.197530864197531,0.366666666666667,NA,"AM000020","All Promoters"
"AMEX60DD000023",0.75609756097561,0.75609756097561,0.853448275862069,0.05,0.67032967032967,0.784415584415584,0.875,0.849462365591398,0.736842105263158,0.8,NA,"AM000023","All Promoters"
"AMEX60DD000025",0.833333333333333,0.905660377358491,0.777777777777778,0.782608695652174,0.833333333333333,0.727272727272727,0.795454545454545,0.894736842105263,0.871794871794872,1,NA,"AM000025","All Promoters"
"AMEX60DD000026",0.49738219895288,0.370242214532872,0.494047619047619,0.510416666666667,0.731034482758621,0.867612293144208,0.94375,0,0.896551724137931,0.0232558139534884,NA,"LOC114595149","All Promoters"
"AMEX60DD000028",0.766990291262136,0.822916666666667,1,0.962962962962963,0.91588785046729,0.925925925925926,1,0.947368421052632,0.921232876712329,0.952830188679245,"KDM6B","Kdm6b","All Promoters"
"AMEX60DD000030",0.454545454545455,1,0,0.578947368421053,0.756756756756757,0.673076923076923,0.740740740740741,0.866666666666667,0.655172413793103,0,NA,"PARPI_0006348","All Promoters"
"AMEX60DD000031",0.875,0.902061855670103,0.9,0.95,0.865384615384615,0.87603305785124,0.990384615384615,0.890625,0.974522292993631,0.781818181818182,"GLT1D1","Glt1d1","All Promoters"
"AMEX60DD000032",1,1,0.957446808510638,0.575342465753425,0.960629921259842,0.790123456790123,0.815789473684211,0.975903614457831,0.789473684210526,0.921052631578947,NA,"AM000032","All Promoters"
"AMEX60DD000033",0.00604229607250755,0,0.00413223140495868,0,0,0,0,0,0,0,"GLT1D1","Glt1d1.1","All Promoters"
"AMEX60DD000035",0.926406926406926,0.808988764044944,0.966666666666667,0.871794871794872,0.952830188679245,0.928,0.936507936507937,0.676923076923077,0.882352941176471,0.966666666666667,NA,"AM000035","All Promoters"
"AMEX60DD000036",0.0075187969924812,0.00340136054421769,0,0,0,0,0,0,0,0,"SLC15A4","Slc15a4","All Promoters"
"AMEX60DD000038",0.00267379679144385,0.00433839479392625,0.0172413793103448,0,0.008,0.0037593984962406,0,0,0.00398406374501992,0,"TMEM132C","Tmem132c","All Promoters"
"AMEX60DD000039",0.8,0.905660377358491,0.954545454545455,0.636363636363636,0.75,0.777777777777778,0.933333333333333,0.75,0.803921568627451,0.4,NA,"AM000039","All Promoters"
"AMEX60DD000045",0.113138686131387,0.241071428571429,0.157894736842105,0.177777777777778,0.264150943396226,0.178571428571429,0.159090909090909,0.246376811594203,0.128,0.0606060606060606,"TMEM132B","Tmem132b.1","All Promoters"
"AMEX60DD000048",0,0,0,0.0454545454545455,0,0,0,0,0,0,"AACS","Aacs","All Promoters"
"AMEX60DD000050",0,0,0,0,0,0.00956937799043062,0,0.0178571428571429,0,0.0050251256281407,"BRI3BP","Bri3bp","All Promoters"
"AMEX60DD000052",0.868159203980099,0.966735966735967,0.943894389438944,0.947368421052632,0.912751677852349,0.953191489361702,0.985576923076923,0.962406015037594,0.89119170984456,0.839080459770115,NA,"AM000052","All Promoters"
"AMEX60DD000053",0.00264550264550265,0.00336134453781513,0.0408163265306122,0,0,0.0037593984962406,0.0153061224489796,0,0.00469483568075117,0,"UBC","Ubc","All Promoters"
"AMEX60DD000054",0.666666666666667,0.636363636363636,0.611111111111111,0.684210526315789,0.555555555555556,0.608247422680412,0.722222222222222,0.571428571428571,0.756302521008403,0.411764705882353,"UBC","Ubc.1","All Promoters"
"AMEX60DD000055",0.0195121951219512,0.00163398692810458,0.0174418604651163,0.0816326530612245,0.0727272727272727,0.00726392251815981,0,0,0,0.0263157894736842,"SCARB1","Scarb1","All Promoters"
"AMEX60DD000057",0.149253731343284,0.193650793650794,0,0.207920792079208,0.0880829015544041,0.154302670623145,0.333333333333333,0.184210526315789,0.311475409836066,0.107142857142857,NA,"AM000057","All Promoters"
"AMEX60DD000059",0.0175438596491228,0.0198019801980198,0.0208333333333333,0,0,0,0,0,0.0520231213872832,0,"ZNF268","Znf268.5","All Promoters"
